date,Labour force,Participation rate,Part-time employment,Full-time employment,Employment,Year-ended employment growth,Year-ended employment trend growth,Employment to population ratio,Unemployment,Unemployment rate,Unemployment rate trend,Hours worked,Hours worked trend,Year-ended hours worked trend growth,Average hours worked trend,Job vacancies,Private sector job vacancies,Vacancies to labour force ratio
1987-11-30,7773.6747593,61.6112092,1428.2971078,5728.8468399,7157.1439476,2.12819460688782,2.75166453884266,56.7248189,616.5308117,7.9310086,7.8195056,1068986.681101,1073126.7198942,2.86251958360784,34.2602406521923,66.9,51.2,0.860596848613514
1987-12-31,7840.8724549,62.0299152,1430.9326541,5803.9215274,7234.8541815,2.99357122358122,3.03528018793913,57.2356449,606.0182735,7.7289648,7.7278498,1081161.48655,1077843.0508368,3.21333233580248,34.261885596211,,,
1988-01-31,7899.3103574,62.3743152,1445.5345652,5851.0010384,7296.5356036,3.8670163871209,3.30951184304056,57.6147019,602.7747538,7.6307263,7.6449643,1082104.893877,1083139.033266,3.59135189021162,34.2752291250127,,,
1988-02-29,7865.2850091,61.9901603,1424.5501915,5857.4666377,7282.0168292,3.19472817214188,3.5034603545513,57.3931383,583.26818,7.4157285,7.57991,1089675.5883,1088422.8355773,3.90908588954324,34.3037576216866,70.2,53.3,0.892529640296312
1988-03-31,7924.0687714,62.3363864,1450.6519332,5878.9106219,7329.5625551,3.67020205571036,3.5811522963775,57.6595758,594.5062163,7.5025373,7.5302116,1087495.575109,1093211.1007661,4.10680143572588,34.3454432387172,,,
1988-04-30,7992.2655991,62.7703351,1453.1521317,5906.7181753,7359.870307,3.88581863734936,3.57690435126885,57.8035752,632.395292,7.912591,7.4850502,1074480.172272,1097427.3067052,4.21395590180762,34.3946211922975,,,
1988-05-31,7934.2241066,62.2129743,1449.4446758,5893.587512,7343.0321877,3.57211472269925,3.55526906400077,57.5773846,591.1919188,7.4511623,7.4260666,1096431.900282,1100879.8136538,4.23912056621352,34.4313739132815,74.4,57.7,0.937709837791337
1988-06-30,7964.5795555,62.3483265,1460.8913149,5899.6599429,7360.5512577,3.29952272094562,3.57514870987607,57.6198718,604.0282978,7.583932,7.3347626,1090602.254542,1103950.5195455,4.2665257428802,34.4522851981741,,,
1988-07-31,7912.5095399,61.8427782,1457.0205437,5921.0344967,7378.0550404,2.88416592920713,3.67185775237018,57.6655762,534.4544995,6.7545511,7.2137187,1072845.87738,1107034.5652745,4.32436712351456,34.456301430055,,,
1988-08-31,7972.0004604,62.211042,1468.4716665,5940.0645432,7408.5362097,3.620742880973,3.81736077497683,57.8139401,563.4642508,7.0680409,7.0840039,1104546.244754,1109999.7784264,4.38489927903518,34.4366836675542,80.8,63.4,1.01354735742132
1988-09-30,8006.3289331,62.3810859,1485.5701564,5965.58365,7451.1538064,4.3938830607608,3.96965194439607,58.0554546,555.1751267,6.9342033,6.9686084,1113486.59374,1113309.9818418,4.43596893662659,34.4106608330597,,,
1988-10-31,8012.6922475,62.3222727,1454.9238914,6011.4876645,7466.411556,4.17547014871318,4.09340527906434,58.073332,546.2806915,6.8176922,6.879633,1118248.970698,1117321.2209714,4.50548926369791,34.3946395346155,,,
1988-11-30,8017.8470026,62.2544044,1487.3395746,6000.3307014,7487.670276,4.61813162931892,4.13221908743948,58.1378583,530.1767266,6.6124575,6.8053749,1124761.174896,1122255.5355999,4.57810012507596,34.4069386846125,85.1,65.8,1.06138218866491
1988-12-31,8073.1766547,62.574645,1511.8974893,6009.6094324,7521.5069217,3.96210805371848,4.09844179142704,58.2986903,551.669733,6.8333663,6.7318425,1122897.976065,1127714.1368853,4.62693395014997,34.4358280450032,,,
1989-01-31,8106.6488414,62.7369257,1526.0303298,6028.9041422,7554.934472,3.54139118121357,4.05800853186453,58.4672375,551.7143694,6.8057021,6.6451585,1129728.613214,1133581.5312451,4.65706584564682,34.4725500902954,,,
1989-02-28,8145.9054528,62.9447604,1542.2273186,6063.0609839,7605.2883024,4.43931236060484,4.07589216396662,58.7673222,540.6171503,6.6366735,6.5398516,1146745.673194,1139025.1526378,4.64914143717505,34.4927024744866,84.7,66.0,1.03978619063012
1989-03-31,8140.5351944,62.8063367,1539.5035325,6084.6352129,7624.1387454,4.01901461493128,4.18790520061103,58.8222044,516.396449,6.3435196,6.4217509,1144543.244244,1143506.9616599,4.60074553382723,34.4815356594625,,,
1989-04-30,8161.7259955,62.8792842,1538.5984782,6117.1035749,7655.7020531,4.0195239013741,4.37405031436027,58.9807922,506.0239424,6.1999624,6.301158,1137592.717618,1147215.6660965,4.53682527189696,34.4482607989546,,,
1989-05-31,8227.8455607,63.2979576,1576.7415411,6134.4370186,7711.1785597,5.01354702784316,4.56510807214967,59.3231667,516.6670011,6.2794932,6.1927711,1148418.322208,1150262.615036,4.48575773392552,34.4052453010139,93.7,72.5,1.13881573625488
1989-06-30,8203.800123,63.0217141,1565.7047561,6145.0115074,7710.7162635,4.75732039001409,4.70951846760561,59.2338366,493.0838595,6.0104324,6.1036739,1151197.953678,1153158.150572,4.45741273320466,34.3693355409816,,,
1989-07-31,8232.835736,63.1541641,1590.2060009,6145.2586724,7735.4646733,4.84422562508593,4.77156244852472,59.3388257,497.3710628,6.0413092,6.0293937,1152994.388876,1156524.2495802,4.47047326778172,34.3572820079278,,,
1989-08-31,8266.0256231,63.318242,1607.4204031,6167.3104704,7774.7308735,4.94287472497659,4.75084263890315,59.5548954,491.2947496,5.9435425,5.9654632,1164804.329879,1160397.6310489,4.54034798943357,34.3674838647184,76.6,56.3,0.92668476354508
1989-09-30,8283.1632974,63.3580641,1630.0121722,6153.6105914,7783.6227636,4.46197952476077,4.6523803694515,59.5370697,499.5405337,6.0307942,5.9182038,1162371.993931,1163930.3491788,4.54683494827346,34.3759565322324,,,
1989-10-31,8282.6420442,63.258028,1617.2962378,6174.6880541,7791.9842919,4.36049812494423,4.48320036134515,59.510668,490.6577523,5.923928,5.8975424,1167178.700411,1166085.6863403,4.3644087710519,34.3555347415603,,,
1989-11-30,8326.3886862,63.4964285,1630.1596271,6214.4295153,7844.5891424,4.76675458779243,4.26911511585781,59.8222606,481.7995438,5.7864167,5.9083352,1172403.388997,1167166.9706705,4.00189026883195,34.3187592758162,79.2,60.1,0.951192683705297
1989-12-31,8316.3099137,63.3233059,1640.8187626,6189.0779845,7829.8967471,4.10010691488265,4.01468437084957,59.6195851,486.4131667,5.8489062,5.9506793,1168557.856055,1167802.2533825,3.5548119142961,34.2835794569092,,,
1990-01-31,8352.4091586,63.5103611,1633.0948534,6208.936382,7842.0312354,3.80012248238597,3.72216555151967,59.6295304,510.3779232,6.1105474,6.0170919,1153925.565787,1168616.6559605,3.09065768537338,34.2626654775669,,,
1990-02-28,8382.2405294,63.6499262,1644.6180295,6201.9350405,7846.5530699,3.1723290151126,3.42845194497932,59.5822229,535.6874594,6.3907431,6.1086938,1166274.010723,1170231.2943996,2.7397236741903,34.2630161658998,71.9,53.5,0.857765889058144
1990-03-31,8379.9926257,63.5447781,1648.8806797,6212.586524,7861.4672037,3.1128559726591,3.14544244198076,59.6128435,518.525422,6.1876596,6.2256154,1172298.110331,1172478.5780625,2.53357586564626,34.2769885784552,,,
1990-04-30,8393.0616392,63.561061,1664.0157243,6202.0352838,7866.0510081,2.74761156509251,2.86481299268995,59.569984,527.0106311,6.2791226,6.3677158,1183177.854937,1174672.1374992,2.393313847964,34.2903610757017,,,
1990-05-31,8448.9354112,63.9013484,1666.3619385,6233.0370234,7899.3989619,2.44087723741315,2.58712084446258,59.7450709,549.5364494,6.5042094,6.5328885,1173028.015271,1175902.7352877,2.22906664239433,34.2851625601024,64.0,47.0,0.757491883713076
1990-06-30,8459.064905,63.8941165,1667.0773149,6233.0850082,7900.1623231,2.45691908671022,2.27223807229262,59.6725403,558.9025819,6.6071438,6.7236051,1172682.019444,1175171.2827962,1.9089430372825,34.2472475805147,,,
1990-07-31,8501.5346403,64.1399536,1667.6338122,6230.4718097,7898.1056219,2.102536246612,1.88474893182147,59.5873744,603.4290184,7.0978834,6.9349872,1184283.180336,1172344.1646751,1.3678844261711,34.1829864458668,,,
1990-08-31,8480.7671042,63.9090676,1654.694741,6214.5131804,7869.2079215,1.2151809437163,1.4227554084671,59.3005013,611.5591827,7.2111305,7.1589407,1164628.750889,1167901.0689549,0.6466264412499,34.1044896318133,56.7,41.2,0.668571596217045
1990-09-30,8468.6244878,63.7425409,1648.1454916,6195.9867546,7844.1322462,0.7773948511864,0.92479133811465,59.0420465,624.4922416,7.3741874,7.3838377,1165005.187694,1162688.606066,-0.10668534536247,34.0246256335989,,,
1990-10-31,8477.1254032,63.7222067,1677.9181942,6151.7940259,7829.7122201,0.48418896633582,0.42854894891444,58.8556281,647.4131831,7.6371783,7.6153791,1150140.662968,1157292.5686795,-0.75407131429567,33.9509729713862,,,
1990-11-30,8483.9787255,63.6900428,1676.6556031,6133.2025544,7809.8581575,-0.44273809972124,-0.04174496610466,58.629355,674.120568,7.9458069,7.8674281,1149435.487921,1151775.4671181,-1.31870622962866,33.8803389953445,41.6,27.0,0.490335977328236
1990-12-31,8494.3511592,63.6833704,1682.461157,6130.5961744,7813.0573314,-0.21506561636635,-0.48491529752066,58.5756127,681.2938278,8.0205517,8.1502242,1151757.555167,1146332.1926987,-1.83850139196193,33.8172604404577,,,
1991-01-31,8454.3555012,63.3119446,1663.8546841,6080.3108637,7744.1655478,-1.24796350157623,-0.92141859132897,57.9935608,710.1899535,8.400285,8.4585393,1142414.550087,1141288.462317,-2.33850797043781,33.7726174908285,,,
1991-02-28,8489.4971022,63.5036944,1714.5385704,6043.5173255,7758.0558959,-1.12784777228465,-1.38324924524741,58.0323198,731.4412063,8.6158367,8.7712333,1138404.352854,1136778.1377815,-2.85867903022228,33.7503986421288,33.8,21.1,0.398139013337326
1991-03-31,8480.6546597,63.3660296,1703.9779339,5997.7027261,7701.68066,-2.03252827442689,-1.87009222753302,57.5456665,778.9739997,9.185305,9.0551391,1131647.167933,1132765.3638159,-3.38711640362979,33.7470887595552,,,
1991-04-30,8537.8579211,63.7207319,1720.4581625,5975.4812663,7695.9394288,-2.16260457915705,-2.33903995136172,57.4372282,841.9184923,9.8610038,9.2941623,1126629.925048,1129466.344351,-3.84837536407735,33.7604087154076,,,
1991-05-31,8501.7692493,63.3794333,1713.1570863,5980.7226679,7693.8797542,-2.60170689809757,-2.73249342657826,57.3567365,807.8894951,9.5026044,9.480212,1130736.018703,1127000.1320792,-4.15872858706596,33.7824386181728,31.6,20.8,0.37168734028628
1991-06-30,8468.0553359,63.0565512,1712.8396533,5945.8913066,7658.7309599,-3.05603041211011,-2.98139696944937,57.0299958,809.324376,9.5573818,9.6140593,1123552.61539,1125586.0786678,-4.21940229941775,33.8102357733247,,,
1991-07-31,8447.7727334,62.8302403,1703.6560858,5926.7680161,7630.4241019,-3.3891863798044,-3.05865194240166,56.7512166,817.3486315,9.6753151,9.7206033,1127650.630714,1124949.6704852,-4.04271165567108,33.8359920981028,,,
1991-08-31,8464.4465541,62.8829662,1707.0925564,5928.6407129,7635.7332693,-2.96693967841551,-2.98997122048532,56.7263972,828.7132848,9.7905194,9.8265989,1120603.158368,1124654.0687126,-3.70296777628601,33.8538311797877,29.8,20.4,0.352060820628202
1991-09-30,8497.7662505,63.0590869,1710.8442987,5934.3492427,7645.1935414,-2.53614674709715,-2.82925104095623,56.7324294,852.5727091,10.0329038,9.9450582,1125002.456278,1124338.9659025,-3.29835864593678,33.8603662159004,,,
1991-10-31,8461.3204446,62.7315725,1676.6534424,5939.5856328,7616.2390752,-2.72644943899705,-2.62174406534148,56.4662049,845.0813694,9.9875826,10.0746056,1127166.685516,1123800.4100488,-2.89400965124275,33.8560474517283,,,
1991-11-30,8459.827489,62.6635368,1738.2951394,5858.7825003,7597.0776397,-2.7245119374628,-2.39088444439104,56.272986,862.7498492,10.1981967,10.1987575,1124941.500276,1123204.6867099,-2.48058594959382,33.8492034053193,30.9,22.3,0.365255675014392
1991-12-31,8508.3158417,62.9655281,1719.3115469,5897.6784364,7616.9899833,-2.50948303312741,-2.14492529466075,56.3692987,891.3258584,10.4759376,10.3030651,1120919.265591,1122501.0994779,-2.07889941262983,33.8400780046482,,,
1992-01-31,8511.7667099,62.9070359,1736.6894276,5894.1144998,7630.8039275,-1.46383260533738,-1.87364239549027,56.3961952,880.9627825,10.3499404,10.3825199,1121170.952449,1121655.1061035,-1.72027991710711,33.8254009880082,,,
1992-02-29,8538.5914541,63.0212349,1766.2655292,5883.9486607,7650.2141898,-1.39006095788756,-1.56412304736729,56.4643417,888.3772643,10.4042601,10.4482486,1118756.920301,1120913.0636936,-1.39561745257185,33.8081736239122,33.3,24.8,0.389994066105719
1992-03-31,8526.267628,62.84655,1762.583761,5868.5657023,7631.1494633,-0.91578968037866,-1.19793017387981,56.2486937,895.1181646,10.4983588,10.5069148,1125173.467684,1120481.2941957,-1.08443195851425,33.7858555015347,,,
1992-04-30,8516.2517091,62.7238824,1773.3409787,5851.1436091,7624.4845878,-0.92847457624992,-0.80261828851659,56.1558407,891.7671213,10.471357,10.5624003,1119820.777466,1120604.5491989,-0.78460019605029,33.7665409152242,,,
1992-05-31,8526.3229495,62.749218,1777.362187,5843.5141508,7620.8763378,-0.94885049847768,-0.42903355340521,56.0856108,905.4466117,10.6194267,10.6239058,1117196.011065,1121157.6113529,-0.51841349082373,33.7521137919982,31.9,23.1,0.37413548828655
1992-06-30,8558.6577048,62.938253,1804.7900167,5828.7681114,7633.558128,-0.32868150130617,-0.14110921533222,56.1352994,925.0995768,10.808933,10.6984599,1122643.216773,1121771.4388166,-0.33890254361664,33.7432668834128,,,
1992-07-31,8610.4293621,63.2615946,1808.6019709,5842.6157554,7651.2177263,0.27250941916612,0.02414807307944,56.2141809,959.2116358,11.1401139,10.7876058,1122596.726619,1122055.2855864,-0.2572901681505,33.7407876670748,,,
1992-08-31,8592.3837481,63.0718614,1832.9555143,5838.117958,7671.0734723,0.4628265780588,0.06869996812644,56.3090403,921.3102758,10.7224061,10.8858611,1124371.137261,1121933.7815036,-0.24187768351862,33.7487609291464,33.0,25.1,0.384061058810335
1992-09-30,8542.0491623,62.6456706,1813.7674048,5821.3645352,7635.13194,-0.13160688928952,0.0016786198723,55.9945221,906.9172223,10.617092,10.9867779,1122440.120101,1121407.2693733,-0.26074845914879,33.7715089374701,,,
1992-10-31,8598.0397878,63.0082511,1831.2720906,5813.1087324,7644.380823,0.3694966442379,-0.1205904259664,56.0196368,953.6589648,11.0915859,11.0694175,1121964.336905,1121014.1490538,-0.24793201444723,33.8128825703922,,,
1992-11-30,8517.9896088,62.3741119,1790.1049867,5779.2418065,7569.3467931,-0.36501991838398,-0.23656893174302,55.4275487,948.6428156,11.1369332,11.1134109,1116434.860667,1121292.9924992,-0.17019998521371,33.8717220371147,36.9,29.7,0.433200810222618
1992-12-31,8560.1115953,62.6348697,1788.4458541,5811.2133455,7599.6591996,-0.22752798333722,-0.29677102086991,55.6071797,960.4523957,11.220092,11.1047242,1119427.283909,1122685.0846579,0.0163906458609,33.9463675936489,,,
1993-01-31,8580.419298,62.7087397,1801.6399927,5849.1341787,7650.7741715,0.26170563665031,-0.29176030581654,55.9145643,929.6451265,10.8344953,11.048168,1127796.754765,1125030.2486309,0.30090733854231,34.0264598050583,,,
1993-02-28,8520.4444925,62.1964213,1760.6764335,5821.3418157,7582.0182492,-0.89142524520327,-0.24614911027036,55.3462207,938.4262433,11.0138179,10.9649853,1125554.704022,1127468.8996848,0.58486569597087,34.0898178171224,37.0,30.4,0.43424964545651
1993-03-31,8561.1966562,62.4196971,1771.0542957,5860.4651457,7631.5194414,0.00484826174325,-0.22232873952085,55.6414192,929.6772148,10.8591971,10.8923411,1138021.091233,1129257.8512721,0.7832845690387,34.1263676171634,,,
1993-04-30,8530.7639611,62.1597656,1754.4037207,5857.8940621,7612.2977828,-0.15983775505953,-0.24805866064709,55.4673237,918.4661783,10.7665173,10.8574435,1129754.442153,1130154.01276,0.8521706937498,34.1389741632648,,,
1993-05-31,8533.7147779,62.143258,1759.7621452,5853.4080909,7613.1702361,-0.10111831446179,-0.28818984747903,55.4397721,920.5445418,10.7871492,10.8616756,1128696.414957,1130375.543479,0.82217986416528,34.1279702206527,42.0,35.0,0.492165499938767
1993-06-30,8567.8400506,62.3536425,1747.7578149,5878.4152509,7626.1730658,-0.09674469069557,-0.27668571354924,55.5005306,941.6669848,10.9907162,10.8958302,1130375.657489,1130777.6875368,0.8028595138508,34.1085514006946,,,
