date,Private dwelling approvals,Private dwelling approvals trend,Private non-residential building approvals,Consumer sentiment,Business conditions,Labour force,Participation rate,Part-time employment,Full-time employment,Employment,Year-ended employment growth,Year-ended employment trend growth,Employment to population ratio,Unemployment,Unemployment rate,Unemployment rate trend,Hours worked,Hours worked trend,Year-ended hours worked trend growth,Average hours worked trend
2015-09-30,20.235,19.779,2520.118,93.8680939243731,6.41823262798576,12559.3666219,64.9850587,3640.4039151,8143.4976873,11783.9016024,2.05051439958384,2.27107670013094,60.9726239,775.4650194,6.1743959,5.9917316,1647420.370382,1645413.5813269,1.9772831456585,32.0271536688056
2015-10-31,21.77,19.743,2480.02,97.8228526556336,6.84068362964383,12606.1943667,65.1543084,3684.9398172,8175.9159905,11860.8558076,2.75936520574476,2.45040825581406,61.3020738,745.338559,5.9124787,5.9355639,1654182.394971,1649826.039918,2.22587085816517,32.0261997208115
2015-11-30,19.147,19.598,2105.038,101.655707948258,8.91374971904943,12632.6607776,65.2180609,3700.6940035,8192.8827642,11893.5767677,3.04557430873973,2.5795990628926,61.4024256,739.0840099,5.8505807,5.8735466,1652141.49742,1653787.7305414,2.34621746004289,32.0204707640011
2015-12-31,20.041,19.491,2191.319,100.840457888464,5.5443566581915,12633.1037163,65.1474708,3685.5920846,8222.2362906,11907.8283753,2.66444783221411,2.6254172652592,61.4073088,725.275341,5.7410701,5.8144634,1652076.281565,1656654.5156076,2.29322735307855,32.0072941144693
2016-01-31,17.516,19.411,2092.997,97.27799,-0.15692315928037,12678.5784246,65.272092,3722.6051027,8190.0265766,11912.6316794,2.62078930137173,2.57264929969465,61.3288308,765.9467453,6.0412668,5.766772,1662460.084031,1658136.7509254,2.10108019853972,31.9875212455185
2016-02-29,19.459,19.435,1988.548,101.322881078937,6.84465042338893,12646.4763007,64.9976026,3715.2469602,8211.0772771,11926.3242373,2.16404599309277,2.45767065823475,61.296322,720.1520634,5.6944879,5.7300731,1663194.839825,1658440.0289284,1.85108119338389,31.9589241319888
2016-03-31,20.154,19.613,2214.985,99.1184376692937,9.08074660294763,12657.3678831,64.9446123,3752.2909364,8189.5134764,11941.8044128,2.12278611991177,2.31921483405018,61.2730755,715.5634704,5.6533355,5.7011618,1656485.469826,1658165.5042739,1.64079208365175,31.9278158088613
2016-04-30,20.974,19.945,2315.253,95.1425110868608,6.37703870175193,12663.0578092,64.9001607,3773.4470006,8174.7555507,11948.2025513,2.1897571562898,2.20044693290686,61.2364152,714.8552579,5.6452025,5.6797958,1627419.911219,1657742.0684008,1.5048236427013,31.8952139406836
2016-05-31,20.102,20.216,2761.493,103.184127157743,8.97674052006603,12666.5550493,64.8445846,3772.3824147,8169.467436,11941.8498508,1.77482501133923,2.09690978412551,61.1345618,724.7051985,5.7214072,5.6606001,1662527.43672,1657364.4997975,1.4081918016168,31.8657852314138
2016-06-30,18.213,20.245,2342.084,102.165171441437,8.30836497819503,12685.4373099,64.8678065,3755.2014556,8207.805552,11963.0070076,2.00782949325653,1.9779033346334,61.1736123,722.4303023,5.6949578,5.6443727,1657295.440522,1657243.4520672,1.30466005595502,31.8472787086382
2016-07-31,21.52,20.044,2604.475,99.1048877297659,7.53072576041223,12720.2515229,64.9473234,3820.7964645,8175.2204434,11996.0169078,2.00262279800827,1.81592283546397,61.2495113,724.2346151,5.6935558,5.6378281,1660963.353748,1657874.8667148,1.19811997958965,31.8501578455894
2016-08-31,20.918,19.594,2488.201,101.044672245702,5.10693237475949,12667.1268949,64.5795566,3790.7760537,8165.0815866,11955.8576403,1.625144151553,1.60265438739378,60.9533631,711.2692546,5.6150796,5.6418887,1662583.557291,1659483.3180905,1.09707524446143,31.8754144049256
2016-09-30,19.413,19.066,4513.81,101.357909693115,5.6288347688991,12659.5208632,64.4445957,3835.5529848,8106.7963572,11942.349342,1.3446118691939,1.34951990723127,60.7937601,717.1715212,5.6650763,5.6554441,1658730.383825,1661842.9802743,0.99849661713325,31.9162278660629
2016-10-31,16.481,18.481,2456.098,102.423356908164,2.70434127203767,12670.279301,64.4195741,3815.0617888,8146.0303634,11961.0921522,0.84510212606894,1.09957108740955,60.8138498,709.1871487,5.5972495,5.6871553,1663137.713749,1664908.6558416,0.9141943185931,31.9674762924343
2016-11-30,18.299,17.945,2705.76,101.268183572653,3.95060691591944,12720.9805614,64.5974261,3800.95382,8186.3606868,11987.3145067,0.78813750338391,0.88465699510114,60.8718533,733.6660547,5.7673703,5.7342511,1666371.62945,1668383.9576871,0.8825937498594,32.0198158964929
2016-12-31,18.219,17.531,2449.642,97.335084505156,9.16646976353993,12762.7058535,64.7293328,3811.8204837,8205.9908792,12017.8113629,0.92361918675394,0.7513355756171,60.9514095,744.8944906,5.8364934,5.7799609,1676525.173761,1671667.4479551,0.9062198669705,32.0564986936318
2017-01-31,16.154,17.304,1918.862,97.42471,9.32823165762993,12764.8073845,64.6206095,3883.8277995,8155.4445639,12039.2723633,1.06307898462936,0.7476477069216,60.9476583,725.5350211,5.6838697,5.803788,1707702.675497,1674674.2100851,0.9973519464224,32.0668026962315
