date,Private dwelling approvals,Private dwelling approvals trend,Private non-residential building approvals,Consumer sentiment,Business conditions,Participation rate,Year-ended employment growth,Employment to population ratio,Unemployment rate,target_next_month_unemployment_rate
2013-02-28,12.894,13.101,2056.273,108.325910851938,-6.84036118295024,65.2165733,1.7457618692556,61.6986182,5.3942656,5.6404023
2013-03-31,13.098,13.146,2648.693,110.537577594616,-11.2635901139982,65.0869563,0.8970665143377,61.4157901,5.6404023,5.589039
2013-04-30,14.669,13.38,2585.006,104.924216990023,-9.5169029231726,65.1501138,1.28325792406643,61.5088486,5.589039,5.6096923
2013-05-31,13.913,13.76,3173.307,97.5906992227922,-7.21942331609008,65.0246453,0.82352288217453,61.3769628,5.6096923,5.6948211
2013-06-30,13.285,14.297,1693.153,102.18252999427,-12.1824084161273,65.0702066,1.16063115819136,61.3645748,5.6948211,5.6357291
2013-07-31,14.802,14.96,2240.426,102.133073790257,-11.1197501732465,64.8684601,0.95848441406639,61.2126494,5.6357291,5.8434861
2013-08-31,14.425,15.687,2443.651,105.684420018472,-10.8245614787801,64.9366538,0.86991229906905,61.1420895,5.8434861,5.7064821
2013-09-30,18.738,16.413,2145.151,110.63401559072,-8.18744054456671,64.8369354,0.73901220666215,61.1370273,5.7064821,5.823109
2013-10-31,17.603,16.958,3351.21,108.323203830721,-7.24576224010398,64.8313813,0.6983679754089,61.0561793,5.823109,5.7964227
2013-11-30,17.374,17.163,2110.934,110.347729189995,-6.18669835968247,64.6270847,0.56331716889273,60.8810257,5.7964227,5.9007615
2013-12-31,17.121,17.014,2580.667,105.0274780711,1.64098051467345,64.4632447,0.1964586366415,60.6594224,5.9007615,5.9471185
2014-01-31,16.484,16.674,2639.19,103.293378982356,1.55865109724157,64.5788029,-0.14598425925614,60.7382249,5.9471185,5.8763431
2014-02-28,16.44,16.323,2283.913,100.151340486769,-1.83105350983427,64.5650404,0.08828710646942,60.7709771,5.8763431,5.8750862
